"Jname","RA","DEC"
"J1007+5802",151.85367,58.03429
"J1413+3947",213.25162,39.79588
"J1246+2245",191.69463,22.76153
"J1642+1848",250.53604,18.81644
"J1416+6205",214.01341,62.08898
"J1558+1304",239.6418333,13.07116389
"J1635+2547",248.9356,25.79693
"J0912+5650",138.03231,56.84333
"J1002+1916",150.65282,19.26906
"J1401+4355",210.3250792,43.92756667
"J1612+2029",243.2486958,20.487675
"J1548+1935",237.1790208,19.59152222
"J1627+4120",246.84575,41.34994
"J0740+3756",115.09448,37.93437
"J1253+4633",193.33505,46.56391
"J1214+1631",183.56074,16.53188
"J0930+1859",142.67162,18.9997
"J1643+1235",250.82438,12.58614
"J1553+1401",238.2712333,14.02271667
"J0903+6228",135.96504,62.47173
"J1313+3601",198.3229208,36.02360833
"J1411+0042",212.848125,0.7101388889
"J0945+1726",146.2814083,17.43557778
"J1117+1504",169.32438,15.06705
"J1344+2852",206.06003,28.87654
"J1119+5204",169.8713,52.06869722
"J1350+1740",207.6428625,17.67251389
"J1238+5249",189.70772,52.82611
"J1049+6406",162.38719,64.11345
"J1137+5241",174.2881375,52.69180833
"J0744+1825",116.107,18.42495
"J0804+1241",121.06768,12.69976
"J1207+1127",181.94193,11.46407
"J0829+1852",127.4688417,18.88066111
"J1010+1851",152.60755,18.86542
"J1512+1456",228.1357125,14.94336944
"J1305+1901",196.44681,19.02798
"J0954+0043",148.59883,0.73097
